IdCliente,Correo Electrónico,Nombre Cliente,Apellido Cliente,Fecha Nacimiento,Estado Civil,Genero,Ingreso Anual,Numero de Hijos,Nivel Educativo Cliente,Ocupacion,Propietario Casa,Nivel Ingreso Anual
114,janet18@adventure-works.com,JANET,DOMINGUEZ,1979-03-01,Casado,F,70000,4,Universitaria Postgrado,Independiente,Si,Alta
118,mariah8@adventure-works.com,MARIAH,ROSS,1957-03-30,Casado,F,70000,4,Universitaria Incompleta,Independiente,Si,Alta
119,abigail68@adventure-works.com,ABIGAIL,FOSTER,1957-08-02,Soltero,F,70000,5,Universitaria Incompleta,Independiente,Si,Alta
124,arianna5@adventure-works.com,ARIANNA,HENDERSON,1958-08-26,Casado,F,70000,4,Universitaria Incompleta,Independiente,Si,Alta
140,tamara17@adventure-works.com,TAMARA,LUO,1971-06-29,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
144,colleen37@adventure-works.com,COLLEEN,RAJE,1984-10-30,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
147,suzanne5@adventure-works.com,SUZANNE,LIU,1971-11-04,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
158,kelli45@adventure-works.com,KELLI,ANAND,1965-08-01,Soltero,F,70000,2,Secundaria Completa,Independiente,Si,Alta
159,jocelyn6@adventure-works.com,JOCELYN,COLEMAN,1982-10-12,Casado,F,70000,0,Universitaria Completa,Independiente,Si,Alta
259,tiffany3@adventure-works.com,TIFFANY,LI,1959-11-23,Soltero,F,70000,2,Secundaria Completa,Independiente,Si,Alta
267,morgan29@adventure-works.com,MORGAN,MILLER,1979-02-13,Soltero,F,70000,4,Universitaria Postgrado,Independiente,Si,Alta
268,aimee17@adventure-works.com,AIMEE,SHE,1974-08-04,Soltero,F,70000,5,Universitaria Postgrado,Independiente,Si,Alta
270,jessie6@adventure-works.com,JESSIE,ALONSO,1974-05-04,Casado,F,70000,5,Universitaria Postgrado,Independiente,Si,Alta
306,latasha6@adventure-works.com,LATASHA,MORENO,1973-01-06,Soltero,F,70000,0,Universitaria Completa,Independiente,Si,Alta
314,kari18@adventure-works.com,KARI,MARTINEZ,1972-09-08,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
402,tina10@adventure-works.com,TINA,SMITH,1965-08-08,Soltero,F,70000,2,Secundaria Completa,Independiente,Si,Alta
405,chloe39@adventure-works.com,CHLOE,MILLER,1967-10-03,Soltero,F,70000,2,Universitaria Postgrado,Independiente,No,Alta
428,hannah33@adventure-works.com,HANNAH,PATTERSON,1978-07-11,Casado,F,70000,3,Universitaria Postgrado,Independiente,Si,Alta
447,cheryl24@adventure-works.com,CHERYL,ORTEGA,1965-05-16,Casado,F,70000,3,Universitaria Incompleta,Independiente,Si,Alta
472,vanessa20@adventure-works.com,VANESSA,RUSSELL,1978-05-19,Casado,F,70000,4,Universitaria Postgrado,Independiente,Si,Alta
488,katelyn11@adventure-works.com,KATELYN,WARD,1971-07-11,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
523,lauren35@adventure-works.com,LAUREN,MARTINEZ,1965-01-27,Soltero,F,70000,4,Universitaria Incompleta,Independiente,Si,Alta
570,susan13@adventure-works.com,SUSAN,LIU,1973-08-27,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
596,meagan9@adventure-works.com,MEAGAN,PRASAD,1972-01-01,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
611,cristina15@adventure-works.com,CRISTINA,NARA,1965-11-12,Soltero,F,70000,2,Secundaria Completa,Independiente,No,Alta
613,lacey33@adventure-works.com,LACEY,HU,1984-01-08,Soltero,F,70000,0,Universitaria Completa,Independiente,Si,Alta
614,niñia0@adventure-works.com,NIÑIA,ANAND,1985-03-14,Casado,F,70000,0,Universitaria Completa,Independiente,Si,Alta
643,kara10@adventure-works.com,KARA,JAI,1965-08-04,Soltero,F,70000,3,Universitaria Incompleta,Independiente,No,Alta
645,laura26@adventure-works.com,LAURA,HU,1965-07-15,Casado,F,70000,3,Universitaria Incompleta,Independiente,Si,Alta
670,alyssa30@adventure-works.com,ALYSSA,MORGAN,1978-04-28,Soltero,F,70000,4,Universitaria Postgrado,Independiente,Si,Alta
698,amanda15@adventure-works.com,AMANDA,GRAY,1959-05-11,Soltero,F,70000,2,Secundaria Completa,Independiente,Si,Alta
706,kaitlyn54@adventure-works.com,KAITLYN,BAILEY,1964-12-02,Soltero,F,70000,3,Universitaria Incompleta,Independiente,Si,Alta
707,chloe45@adventure-works.com,CHLOE,WHITE,1957-12-29,Casado,F,70000,4,Universitaria Incompleta,Independiente,Si,Alta
766,veronica1@adventure-works.com,VERONICA,KAPOOR,1973-06-30,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
776,kelli26@adventure-works.com,KELLI,XIE,1965-12-28,Soltero,F,70000,2,Secundaria Completa,Independiente,No,Alta
844,mindy6@adventure-works.com,MINDY,SIMPSON,1965-04-29,Casado,F,70000,3,Universitaria Incompleta,Independiente,Si,Alta
851,brianna9@adventure-works.com,BRIANNA,THOMAS,1980-09-28,Soltero,F,70000,1,Universitaria Postgrado,Independiente,Si,Alta
861,ashley34@adventure-works.com,ASHLEY,PERRY,1959-08-02,Casado,F,70000,4,Universitaria Incompleta,Independiente,No,Alta
863,stephanie62@adventure-works.com,STEPHANIE,GONZALEZ,1961-01-27,Casado,F,70000,4,Universitaria Incompleta,Independiente,Si,Alta
864,kathleen17@adventure-works.com,KATHLEEN,SERRANO,1960-11-19,Casado,F,70000,4,Universitaria Incompleta,Independiente,No,Alta
874,sydney80@adventure-works.com,SYDNEY,ROBINSON,1962-07-20,Soltero,F,70000,3,Secundaria Completa,Independiente,Si,Alta
891,autumn19@adventure-works.com,AUTUMN,ZHENG,1953-08-19,Soltero,F,70000,5,Secundaria Completa,Independiente,Si,Alta
965,nancy14@adventure-works.com,NANCY,RANA,1973-01-13,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
966,jaime15@adventure-works.com,JAIME,GILL,1971-10-30,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
1350,meagan11@adventure-works.com,MEAGAN,RANA,1976-07-25,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
1361,audrey8@adventure-works.com,AUDREY,MUNOZ,1971-05-28,Soltero,F,70000,0,Universitaria Completa,Independiente,Si,Alta
1366,ashley47@adventure-works.com,ASHLEY,RUSSELL,1973-05-29,Soltero,F,70000,0,Universitaria Completa,Independiente,No,Alta
